,price (CLP),rooms,size (m2),address
1135,380000,2.0,48.0,"Ma - Santa Elena Esquina Coquimbo, Barrio Diez De Julio, Santiago"
1136,400000,2.0,42.0,"Carmen / Santa Victoria, Santa Isabel, Santiago"
1137,300000,1.0,32.0,"Metro Irarrázaval, Barrio Diez De Julio, Santiago"
1138,220000,1.0,22.0,"Santiago Concha 1200 - 1500, Santiago, Chile, Bogotá - Sierra Bella, Santiago"
1139,460000,2.0,65.0,"Curicó 300 - 600, Santiago, Chile, Santa Isabel, Santiago"
1140,370000,1.0,29.0,"Avenida Manuel Antonio Matta 99, Santiago, Chile, Barrio Diez De Julio, Santiago"
1141,290000,2.0,42.0,"Matucana 1161, Santiago"
1142,320000,1.0,31.0,"Merced 562, Centro Histórico De Santiago, Santiago"
1143,460000,2.0,42.0,"Av. Vicuña Mackenna 1503, 8.3601e+06 - 8.3604e+06 Santiago, Región Metropolitana, Chile, Bogotá - Sierra Bella, Santiago"
1144,280000,1.0,3.0,"Martínez De Rozas 2375, Santiago, Chile, Parque Los Reyes, Santiago"
1145,300000,1.0,40.0,"Eyzaguirre 771, San Diego, Santiago"
1146,330000,1.0,36.0,"Club Hipico, Barrio República, Santiago"
1148,460000,2.0,50.0,"Marín 300 - 600, Santiago, Chile, Santa Isabel, Santiago"
1149,300000,1.0,28.0,"Eleuterio Ramírez, Santiago, Chile, San Diego, Santiago"
1151,330000,2.0,41.0,"Zenteno 1482, Parque O'higgins, Santiago"
1152,389000,2.0,53.0,"José Miguel Carrera / Sazie, Ejército - Toesca, Santiago"
1153,300000,1.0,30.0,"Parque Almagro, Parque Almagro, Santiago"
1154,420000,1.0,37.0,"San Diego, San Diego, Santiago"
1155,330000,1.0,32.0,"Arturo Prat, Metro Parque Almagro 661, San Diego, Santiago"
1156,380000,2.0,40.0,"Departamento Remodelado En Santiago 106, Barrio Diez De Julio, Santiago"
1157,400000,2.0,2.0,"San Isidro 154, Santa Isabel, Santiago"
1158,460000,2.0,50.0,"Santa Isabel | Lira | Rauli, Santa Isabel, Santiago"
1159,340000,1.0,34.0,"Calle Tarapaca 876, Bulnes, Santiago"
1160,280000,1.0,35.0,"Nataniel Cox 600 - 900, Santiago, Chile, Parque Almagro, Santiago"
1161,310000,2.0,39.0,"Barrio Victoria, Parque O'higgins, Santiago"
1162,290000,1.0,27.0,"Teatinos Con Rosas, Centro Histórico De Santiago, Santiago"
1163,340000,1.0,29.0,"San Diego Con Eleuterio Ramírez, Barrio República, Santiago"
1164,550000,2.0,50.0,"Avenida Vicuña Mackenna 1865, Ñuñoa, Chile, Bogotá - Sierra Bella, Santiago"
1165,280000,1.0,30.0,"San Isidro 1 - 300, Santiago, Chile, Santa Isabel, Santiago"
1166,315000,1.0,33.0,"Lord Cochrane, Parque O'higgins, Santiago"
1167,340000,1.0,35.0,"Portugal 651/ Metro Universidad Catolica, Barrio Diez De Julio, Santiago"
1170,450000,2.0,60.0,"Departamento En Arriendo Centro 302, Bulnes, Santiago"
1171,380000,1.0,30.0,"Santo Domingo 1240, Centro Histórico De Santiago, Santiago"
1172,340000,1.0,32.0,"Hermoso Depto 1d1b A Pasos Del Metro Moneda/ Santa Ana, Centro Histórico De Santiago, Santiago"
1173,430000,2.0,57.0,"Departamento En Arriendo Blanco Encalada  161, Ejército - Toesca, Santiago"
1174,480000,2.0,60.0,"Nueva San Martín 1490, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1175,280000,1.0,30.0,"Serrano 633, Santiago, Chile, San Diego, Santiago"
1176,480000,2.0,65.0,"Vicuña Mackena 2004, Bogotá - Sierra Bella, Santiago"
1177,550000,3.0,76.0,"Presidente Balmaceda 1800 - 2100, Parque Los Reyes, Santiago"
1178,334990,1.0,35.0,"Coquimbo, Barrio Diez De Julio, Santiago"
1179,350000,1.0,30.0,"Santa Elvira 97, Barrio República, Santiago"
1181,300000,1.0,35.0,"Se Arrienda Excelente Dpto 685, Parque Almagro, Santiago"
1182,450000,3.0,50.0,"San Martín 600 - 900, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1183,330000,1.0,36.0,"Santa Isabel 1 - 300, Santiago, Chile, Santa Isabel, Santiago"
1184,320000,1.0,35.0,"Entre 10 De Julio Y Santa Isabel, Parque Almagro, Santiago"
1185,300000,1.0,34.0,"San Martín  891, Centro Histórico De Santiago, Santiago"
1186,400000,1.0,44.0,"Santa Victoria / Santa Isabel, Santa Isabel, Santiago"
1188,440000,2.0,50.0,"San Francisco, San Diego, Santiago"
1189,400000,2.0,54.0,"Ejercito Libertador 521, Ejército - Toesca, Santiago"
1190,430000,2.0,57.0,"Avenida Manuel Rodríguez Sur, Centro Histórico De Santiago, Santiago"
1191,300000,1.0,34.0,"Santiago, Parque Almagro"
1192,420000,2.0,42.0,"Lord Cochrane 635, Santiago, Chile, Parque Almagro, Santiago"
1193,430000,2.0,40.0,"Sargento Aldea 1156, Parque O'higgins, Santiago"
1194,430000,3.0,58.0,"Chacabuco 1175, Parque Los Reyes, Santiago"
1195,260000,1.0,29.0,"Lord Cochrane 300 - 600, Santiago, Chile, Parque Almagro, Santiago"
1196,340000,1.0,47.0,"Cóndor, San Diego, Santiago"
1197,300000,1.0,33.0,"Santo Domingo 1240, Centro Histórico De Santiago, Santiago"
1198,350000,1.0,33.0,"Eleuterio Ramirez 825, Bulnes, Santiago"
1199,340000,1.0,47.0,"Cóndor, San Diego, Santiago"
1200,300000,1.0,33.0,"Santo Domingo 1240, Centro Histórico De Santiago, Santiago"
1201,350000,1.0,33.0,"Eleuterio Ramirez 825, Bulnes, Santiago"
1202,450000,2.0,56.0,"Santa Victoria 300 - 600, Santiago, Chile, Santa Isabel, Santiago"
1203,450000,1.0,39.0,"Santiago, Santa Isabel"
1204,400000,2.0,49.0,"Santiago, Franklin - Biobío"
1205,500000,2.0,58.0,"Arriendo Depto Vergara Metro Toesca Y Parque O´higgins, Ejército - Toesca, Santiago"
1206,330000,1.0,35.0,"General Mackenna 1500 - 1800, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1207,430000,1.0,50.0,"Santo Domingo 1450, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1208,300000,1.0,32.0,"Av. Vicuña Mackenna 319, Providencia, Santiago, Chile, Santa Isabel, Santiago"
1209,250000,1.0,37.0,"Matucana 1161, Santiago"
1210,550000,2.0,55.0,"San Martín Con Huérfanos, Centro Histórico De Santiago, Santiago"
1211,400000,1.0,35.0,"Santo Domingo 600 - 900, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1213,430000,3.0,48.0,"Avenida Presidente Balmaceda 2914, Santiago, Chile, Parque Los Reyes, Santiago"
1214,330000,1.0,36.0,"Agustinas 1612, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1215,400000,2.0,44.0,"Departamento Semi Amoblado En Catedral Con Amunátegui, Centro Histórico De Santiago, Santiago"
1216,269990,1.0,35.0,"Amplio Dpto Morandé / Rosas / Metro Plaza De Armas, Centro Histórico De Santiago, Santiago"
1217,430000,2.0,56.0,"Carmen 644, Barrio Diez De Julio, Santiago"
1218,430000,2.0,53.0,"Barrio Diez De Julio, Santiago"
1219,500000,2.0,63.0,"Argomedo/raulí, Santa Isabel, Santiago"
1220,750000,3.0,77.0,"Padre Miguel De Olivares 1444, Santiago, Chile, Bulnes, Santiago"
1221,320000,1.0,30.0,"Chiloe 1295, Santiago, Chile, Parque O'higgins, Santiago"
1222,290000,1.0,40.0,"Departamento Central 1 Dormitorio + Bodega  652, Santa Isabel, Santiago"
1223,260000,1.0,35.0,"Matucana 1161, Parque Los Reyes, Santiago"
1224,340000,1.0,32.0,"Arturo Prat, San Diego, Santiago"
1225,340000,1.0,31.0,"Zenteno 864, San Diego, Santiago"
1226,440000,2.0,45.0,"Manuel Rodriguez Sur, Parque Almagro, Santiago"
1227,650000,2.0,45.0,"Lord Cochrane Con Condor Excelente Departamento, Parque Almagro, Santiago"
1228,475000,2.0,55.0,"Carmen, Bogotá - Sierra Bella, Santiago"
1229,350000,1.0,36.0,"Franklin 200, Bogotá - Sierra Bella, Santiago"
1230,340000,2.0,50.0,"Lord Cochrane 181, Santiago, Chile, Bulnes, Santiago"
1231,440000,2.0,55.0,"Matucana - Depto Mariposa, Parque Los Reyes, Santiago"
1232,345000,1.0,31.0,"Avenida Portugal 551, Santiago, Chile, Santa Isabel, Santiago"
1233,380000,2.0,50.0,"San Pablo Con Almirante Barroso, Barrio Yungay, Santiago"
